time,latitude,longitude,depth,magnitude,associated_phase_count,azimuthal_gap,event_description,event_id,horizontal_uncertainty,local_magnitude,magnitude_type,moment_magnitude,p_phase_count,s_phase_count,standard_error,stations,used_phase_count,vertical_uncertainty
1196882192.0,41.8005,-110.6409,10.1296,2.24,,,,smi:local/f21a1ec8-719f-423c-8fed-0202703d950c,,2.24,ML,,0,0,,,,
1198086978.0,41.7205,-110.6486,4.077,2.36,,,,smi:local/c7f9488a-60ab-4a8e-a31b-d7a636302e01,,2.36,ML,,0,0,,,,
1198261809.0,41.7669,-110.6122,8.9715,2.17,,,,smi:local/210665eb-9328-4054-af4f-51c79c4cb2f6,,2.17,ML,,0,0,,,,
1198872014.0,41.704,-110.641,0.7,-999.0,,,,smi:local/7e9660d0-00e2-4886-8cf9-52f6f735f795,,-999.0,ML,,0,0,,,,
1199818089.0,41.7231,-110.6232,10.5796,2.03,,,,smi:local/11d7e9f2-1336-4c6b-8c47-e16cc180a1f2,,2.03,ML,,0,0,,,,
1200333775.0,41.8005,-110.6353,12.0948,2.38,,,,smi:local/15c6c7a4-ecef-425e-b07f-1f2ec8dbb1e4,,2.38,ML,,0,0,,,,
1200945666.0,41.8071,-110.6136,5.6228,2.58,,,,smi:local/e5f18c6a-438c-4427-ab06-8ea64638281e,,2.58,ML,,0,0,,,,
1201029894.0,41.7221,-110.6176,8.5732,2.74,,,,smi:local/ce643cc2-ecaf-4305-916d-7d4362a47194,,2.74,ML,,0,0,,,,
1203105608.0,41.7092,-110.6404,9.4375,2.06,,,,smi:local/0dab2c73-505d-41fd-8122-40690f02b651,,2.06,ML,,0,0,,,,
1203105925.0,41.722,-110.6438,5.0005,2.32,,,,smi:local/c11e71d5-d1d4-4a29-a245-ee54a41fdd89,,2.32,ML,,0,0,,,,
1203361455.0,41.7207,-110.6375,2.5544,2.72,,,,smi:local/09d7ec30-f650-44a5-8362-e27c47eeb24a,,2.72,ML,,0,0,,,,
1203615693.0,41.7385,-110.6286,1.6012,2.37,,,,smi:local/0177dcd1-a3c0-4210-abfc-d3e9034443b7,,2.37,ML,,0,0,,,,
1203971184.0,41.7645,-110.6609,0.0,2.44,,,,smi:local/eb0f3012-d099-4037-a57c-aef49b26e974,,2.44,ML,,0,0,,,,
1204137724.0,41.7367,-110.6618,0.0,2.44,,,,smi:local/11d7dee0-89a2-4471-b356-864801b7a23c,,2.44,ML,,0,0,,,,
1205518705.0,41.7171,-110.6154,9.6207,2.67,,,,smi:local/81d0ad6d-f60e-4262-af4c-88bfe6af31c8,,2.67,ML,,0,0,,,,
1205773417.0,41.7156,-110.5996,0.9692,2.65,,,,smi:local/1d1fcc80-a2a2-4c08-8240-8bc9e3954f73,,2.65,ML,,0,0,,,,
1206381259.0,41.7268,-110.6584,7.2619,2.01,,,,smi:local/8ae6967f-7ec0-402e-bc75-de1ecb1edcde,,2.01,ML,,0,0,,,,
1206462903.0,41.7993,-110.5818,7.5726,1.75,,,,smi:local/16dc5ae2-a2d1-47ee-80cb-8cd9e9468caf,,1.75,ML,,0,0,,,,
1206736862.0,41.6896,-110.6455,7.2846,1.88,,,,smi:local/395423df-eb06-4aaf-a65f-e4d039980610,,1.88,ML,,0,0,,,,
1207332531.0,41.7077,-110.673,0.0898,2.62,,,,smi:local/dec158b2-e9fd-4284-8c16-a41ebdebb8ce,,2.62,ML,,0,0,,,,
1209401758.0,41.7997,-110.639,8.5077,2.39,,,,smi:local/9674458f-2681-4c48-a24d-d5d1a4378f31,,2.39,ML,,0,0,,,,
1209740669.0,41.6946,-110.6193,9.0421,1.74,,,,smi:local/1e67f80f-9d37-43d4-9c53-cd267d155e45,,1.74,ML,,0,0,,,,
1212781179.0,41.7436,-110.6124,7.2227,1.88,,,,smi:local/3812536a-40fe-4519-8199-c8c135d036ed,,1.88,ML,,0,0,,,,
1213902879.0,41.7503,-110.607,6.887,1.88,,,,smi:local/0ee4d527-9188-4065-823b-a8b95a5ac878,,1.88,ML,,0,0,,,,
1214939568.0,41.7482,-110.6257,9.7139,2.16,,,,smi:local/d1423537-daf8-4ee9-9fc7-9ef43254f10b,,2.16,ML,,0,0,,,,
1215618744.0,41.7236,-110.6227,9.5581,2.35,,,,smi:local/0f474f89-cf27-4c65-8ae8-54812cb28f1a,,2.35,ML,,0,0,,,,
1215626135.0,41.767,-110.6124,8.7803,1.89,,,,smi:local/3de14a6d-bef3-4884-a0ab-ab4050d94868,,1.89,ML,,0,0,,,,
1217533481.0,41.8046,-110.6216,9.7008,1.76,,,,smi:local/60c64d0b-7812-4687-84da-a25dff989e7a,,1.76,ML,,0,0,,,,
1218123309.0,41.7357,-110.6875,5.054,2.15,,,,smi:local/db0d43bb-f361-405c-a8db-92a1487741f7,,2.15,ML,,0,0,,,,
1219082528.0,41.8068,-110.8117,9.2217,2.88,,,,smi:local/f1a61068-ca96-4e6d-9416-fe6306c53bf9,,2.88,ML,,0,0,,,,
1219338030.0,41.7263,-110.6369,9.3482,2.7,,,,smi:local/4d6265ed-e989-4aa9-b3b0-2b39a6e35436,,2.7,ML,,0,0,,,,
1219694352.0,41.7419,-110.6389,6.227,2.11,,,,smi:local/525a2587-86da-4dd1-b2f4-7bbff76cf70c,,2.11,ML,,0,0,,,,
1220036049.0,41.7977,-110.612,2.7348,2.23,,,,smi:local/3f9edeab-7f26-456d-b3f0-1c6a33eade2d,,2.23,ML,,0,0,,,,
1220984879.0,41.8247,-110.5942,7.0224,1.94,,,,smi:local/c50b2e15-bf61-4c20-b698-3cc8b46d8938,,1.94,ML,,0,0,,,,
1221247213.0,41.7976,-110.607,6.2005,2.43,,,,smi:local/52e698d2-8595-4b4c-a7ef-69ae86a63495,,2.43,ML,,0,0,,,,
1221680804.0,41.7105,-110.6174,10.7216,2.67,,,,smi:local/56c247aa-6346-4c64-8fad-273f2042f80b,,2.67,ML,,0,0,,,,
1221755986.0,41.7164,-110.6223,3.4592,2.32,,,,smi:local/636b9b92-8b30-4413-af8c-38455cc8a1e7,,2.32,ML,,0,0,,,,
1222284869.0,41.9013,-110.6119,15.7071,2.33,,,,smi:local/91e13cee-c46e-4ea5-aa62-4193e205cc9e,,2.33,ML,,0,0,,,,
1222708773.0,41.7149,-110.6238,9.9042,2.85,,,,smi:local/17e3797b-e04c-4b90-9683-ef39af0e57e2,,2.85,ML,,0,0,,,,
1223308053.0,41.8456,-110.5448,9.135,2.04,,,,smi:local/83b6ba11-d070-4ef0-a196-5515f625211b,,2.04,ML,,0,0,,,,
1223479770.0,41.746,-110.6168,6.5551,2.64,,,,smi:local/4b497e3c-fa40-45c1-ac92-8199d5308e1b,,2.64,ML,,0,0,,,,
1223568428.0,41.718,-110.6349,6.2712,2.23,,,,smi:local/eb1afda6-dda2-43a2-bc5b-264a248f27aa,,2.23,ML,,0,0,,,,
1224776834.0,41.803,-110.5888,6.9882,2.05,,,,smi:local/9a334d9f-bba5-44b3-ab93-7ead4782413c,,2.05,ML,,0,0,,,,
1225137500.0,41.7384,-110.6482,1.9592,2.43,,,,smi:local/14ffa674-ef85-41c4-8900-4c3a92a1a100,,2.43,ML,,0,0,,,,
1225471963.0,41.8103,-110.6124,7.5454,2.26,,,,smi:local/8af5a51d-6fd6-41cd-994f-7cd1a934d994,,2.26,ML,,0,0,,,,
1225996618.0,41.6966,-110.6179,13.3386,2.39,,,,smi:local/d6d19daa-ef4d-4db1-abcd-b4e80b1da653,,2.39,ML,,0,0,,,,
1226687944.0,41.8075,-110.6068,5.8308,2.63,,,,smi:local/abb82121-1eab-48a6-b8be-04cd69c77bc7,,2.63,ML,,0,0,,,,
1226952122.0,41.8041,-110.6222,5.7571,2.11,,,,smi:local/608b54bc-d7a3-47b5-9fa3-afe9d78144ac,,2.11,ML,,0,0,,,,
1227115021.0,41.7461,-110.628,0.3058,2.48,,,,smi:local/9197d61d-3958-45d2-9a34-6e8f5c7c875f,,2.48,ML,,0,0,,,,
1227126761.0,41.7066,-110.6331,9.4058,2.37,,,,smi:local/8d7e3a1e-4f0e-4291-9e7e-65cc9202bf1e,,2.37,ML,,0,0,,,,
1227714358.0,41.7335,-110.6512,3.9422,2.12,,,,smi:local/5918386e-cd41-452c-a900-d6b619d11849,,2.12,ML,,0,0,,,,
1228154384.0,41.8069,-110.6243,4.2613,2.77,,,,smi:local/3c1bdbcd-fd65-4a24-8c97-ae19dac1388a,,2.77,ML,,0,0,,,,
1228421911.0,41.7918,-110.586,3.1842,2.23,,,,smi:local/1b897d07-03c0-4d09-8532-63178e3abcbb,,2.23,ML,,0,0,,,,
1228495840.0,41.801,-110.6009,8.0185,2.69,,,,smi:local/61f15ee6-254d-4126-8a26-a7cecce992f8,,2.69,ML,,0,0,,,,
1229017370.0,41.7336,-110.6516,0.939,2.4,,,,smi:local/24300d37-f20d-4a9a-bb10-b3ae1b293c5e,,2.4,ML,,0,0,,,,
1229112571.0,41.8009,-110.6108,10.2222,2.81,,,,smi:local/18ece9bb-2925-4410-9ed0-e7c81c7821b4,,2.81,ML,,0,0,,,,
1229450630.0,41.7892,-110.6143,8.9014,2.42,,,,smi:local/a5c57fe6-95bb-4bb9-b9f2-dbef5b5c2820,,2.42,ML,,0,0,,,,
1229620950.0,41.8086,-110.5927,6.6662,2.18,,,,smi:local/f1c7353a-0ab4-40be-bebd-2bd31c415193,,2.18,ML,,0,0,,,,
1231789653.0,41.7972,-110.6091,8.5133,2.35,,,,smi:local/6e3c921a-03f1-42c7-944d-f41986328ee0,,2.35,ML,,0,0,,,,
1231958020.0,41.8028,-110.5957,8.2402,2.44,,,,smi:local/cbf6c658-09dc-4669-90a9-caff6ac01fbc,,2.44,ML,,0,0,,,,
1232039330.0,41.704,-110.6172,10.0731,1.91,,,,smi:local/b680df8c-93ed-4f16-a5f0-27f48a63e4bf,,1.91,ML,,0,0,,,,
1232129876.0,41.809,-110.594,9.1014,2.68,,,,smi:local/20fd702f-4f7b-4dbe-b22c-8b8bac7ab1e4,,2.68,ML,,0,0,,,,
1232656937.0,41.68,-110.6103,7.9943,2.14,,,,smi:local/23d2f470-9d7a-4870-a50e-3e467b00c701,,2.14,ML,,0,0,,,,
1232743626.0,41.8063,-110.607,11.4426,2.53,,,,smi:local/3d7b4813-dd36-4cdb-b67d-71684e019c54,,2.53,ML,,0,0,,,,
1233004280.0,41.704,-110.613,0.0,2.0,,,,smi:local/4ae50c92-00bf-4e6b-8550-06372daa4a80,,2.0,ML,,0,0,,,,
1233252127.0,41.6945,-110.6229,8.759,2.56,,,,smi:local/6dccf089-fd2d-44a2-a5cc-603daa0faf2c,,2.56,ML,,0,0,,,,
1235079083.0,41.6895,-110.6126,2.8189,2.27,,,,smi:local/cd746462-7e60-47b9-9582-260f3f57356a,,2.27,ML,,0,0,,,,
1235494679.0,41.7174,-110.6263,7.8097,2.21,,,,smi:local/408635f1-7a13-4aa3-88a4-d8377dff0f37,,2.21,ML,,0,0,,,,
1235494891.0,41.7094,-110.6297,7.849,2.25,,,,smi:local/eb84ed13-6532-4e52-8178-0f70f49342b0,,2.25,ML,,0,0,,,,
1236965987.0,41.8099,-110.6039,1.2602,2.49,,,,smi:local/15bd3652-575e-4297-ba67-5bf173485677,,2.49,ML,,0,0,,,,
1237489567.0,41.8112,-110.6174,8.1892,2.78,,,,smi:local/5145054e-3673-4cac-8c1e-3db30131056c,,2.78,ML,,0,0,,,,
1238080665.0,41.8074,-110.6067,8.5654,2.29,,,,smi:local/a8dd0250-ff62-4864-a265-51d196e13351,,2.29,ML,,0,0,,,,
1238607418.0,41.6824,-110.6313,2.0984,2.52,,,,smi:local/042f78e9-6089-4ed8-8f9b-47c2189a1c75,,2.52,ML,,0,0,,,,
1238773167.0,41.814,-110.6435,1.8643,2.34,,,,smi:local/16459ce7-69ff-4fe0-8639-a980b47498bb,,2.34,ML,,0,0,,,,
1239043992.0,41.8021,-110.6321,1.9012,2.4,,,,smi:local/71c38757-ad63-44eb-aff1-f2528a26a758,,2.4,ML,,0,0,,,,
1239391642.0,41.7018,-110.6252,8.7868,2.27,,,,smi:local/d8d9b7ba-6798-426b-8b5c-f13d7c52062b,,2.27,ML,,0,0,,,,
1239643687.0,41.721,-110.687,0.0,-999.0,,,,smi:local/fd526506-6320-4b67-b1df-1c4e78233b30,,-999.0,ML,,0,0,,,,
1239728198.0,41.7042,-110.6316,9.0247,2.58,,,,smi:local/8a868e40-7358-4cfd-ace5-f98128325310,,2.58,ML,,0,0,,,,
1239906201.0,41.6856,-110.6516,7.9347,2.57,,,,smi:local/56710cc9-83db-433c-8eee-b4bab80e6944,,2.57,ML,,0,0,,,,
1239993323.0,41.7977,-110.6184,8.8985,2.5,,,,smi:local/98cfb647-72a7-4874-a5e9-859133e57628,,2.5,ML,,0,0,,,,
1240250018.0,41.6998,-110.6275,3.0152,2.51,,,,smi:local/3011702d-5840-487e-a710-1bdfee9a7fad,,2.51,ML,,0,0,,,,
